Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,4,3,5,0,0,0,77,2,6,2,22,45,0,3,1,0,0,2,0,0,5,1,0,1,3,0,0,7,0,0,1,6,0,0,5,0,0,0,5,0,0,4,0,0,0,4,0,0
CN,,,,,,,,0,2,4,2,0,0,0,55,2,3,0,44,6,0,7,0,0,0,7,0,0,5,0,0,0,5,0,0,10,3,0,0,7,0,0,3,2,0,1,0,0,0,2,2,0,0,0,0,0
CS,,,,,,,,0,7,4,1,0,0,0,48,4,3,1,26,10,4,5,2,0,0,2,1,0,5,1,0,0,3,1,0,3,0,0,1,1,1,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0
USJ,,,,,,,,0,9,5,3,0,0,0,78,2,11,1,61,3,0,16,0,0,0,16,0,0,10,0,0,0,10,0,0,6,0,0,0,6,0,0,9,1,1,0,7,0,0,5,0,0,0,5,0,0
Kandy,,,,,,,,0,3,5,1,0,0,0,42,4,5,3,19,11,0,4,1,0,0,2,1,0,3,1,0,0,2,0,0,3,1,0,1,1,0,0,6,4,0,0,2,0,0,4,4,0,0,0,0,0
Ruhuna,,,,,,,,0,2,1,1,0,1,0,44,0,2,1,27,14,0,4,0,0,0,4,0,0,10,0,0,0,10,0,0,8,0,1,0,6,0,1,6,0,0,0,6,0,0,3,0,0,0,3,0,0
SLIIT,,,,,,,,0,2,3,1,0,0,0,14,1,2,0,11,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0
NSBM,,,,,,,,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBM,,,,,,,,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajarata,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
