Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,43,160,115,17,8,1,406,15,133,95,86,65,12,24,3,0,1,20,0,0,24,2,1,0,21,0,0,5,0,1,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
CN,,,,,,,,0,50,9,2,5,1,0,97,18,14,6,39,20,0,19,8,0,1,9,1,0,17,8,0,1,7,1,0,5,0,0,0,5,0,0,4,3,1,0,0,0,0,3,3,0,0,0,0,0
CS,,,,,,,,0,141,8,5,7,3,0,121,37,13,4,45,22,0,21,14,0,0,7,0,0,19,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USJ,,,,,,,,0,50,44,57,1,1,0,262,19,59,44,62,77,1,27,9,1,1,14,2,0,24,8,1,0,14,1,0,2,0,0,0,2,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0
Kandy,,,,,,,,0,62,15,9,14,5,1,126,13,24,5,49,17,18,18,7,0,2,8,1,0,17,7,0,1,7,2,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Ruhuna,,,,,,,,0,42,130,2,3,5,0,370,9,148,6,101,85,21,40,7,1,0,30,1,1,37,6,1,0,28,1,1,3,0,0,0,3,0,0,4,0,0,0,3,1,0,2,0,0,0,2,0,0
SLIIT,,,,,,,,0,36,19,5,2,0,0,26,9,6,4,5,2,0,7,7,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSBM,,,,,,,,0,23,6,7,0,0,0,12,5,3,4,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBM,,,,,,,,0,23,0,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
Rajarata,,,,,,,,0,31,19,1,0,0,0,14,3,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
