Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,55,4,12,3,1,0,71,2,8,13,38,8,2,13,1,0,2,10,0,0,19,2,0,2,15,0,0,9,0,0,0,8,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
CN,,,,,,,,0,19,9,8,2,0,0,62,1,7,4,36,14,0,12,1,0,0,11,0,0,12,1,0,0,11,0,0,3,0,0,0,3,0,0,5,1,0,0,4,0,0,2,1,0,0,1,0,0
CS,,,,,,,,0,58,8,2,2,0,2,75,11,9,7,34,5,9,23,6,1,3,11,1,1,21,4,1,3,11,1,1,4,2,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
USJ,,,,,,,,0,44,7,7,2,2,0,69,4,6,19,23,17,0,9,2,0,1,6,0,0,8,2,0,0,6,0,0,13,0,0,1,12,0,0,4,1,0,0,3,0,0,2,1,0,0,1,0,0
Kandy,,,,,,,,0,54,4,0,1,1,8,94,3,11,6,44,7,23,12,0,0,0,11,0,1,9,1,0,0,8,0,0,9,1,0,1,5,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Ruhuna,,,,,,,,0,7,7,0,8,5,5,103,1,8,2,57,26,9,11,1,0,0,9,1,0,12,1,0,0,10,1,0,11,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLIIT,,,,,,,,0,41,57,14,2,0,0,53,11,22,3,17,0,0,11,8,0,0,3,0,0,8,7,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSBM,,,,,,,,0,5,3,0,1,0,0,13,5,1,0,7,0,0,6,5,0,0,1,0,0,6,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBM,,,,,,,,0,7,0,0,0,0,0,4,3,1,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,5,5,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0
Rajarata,,,,,,,,0,14,0,0,0,0,0,6,1,4,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
