Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,84,13,13,5,0,0,111,9,12,13,56,0,21,25,2,0,3,17,2,1,20,1,0,3,13,2,1,3,0,0,1,2,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0
CN,,,,,,,,0,44,28,2,1,3,0,93,12,9,0,55,17,0,24,8,0,0,15,1,0,25,8,0,0,16,1,0,10,1,0,1,6,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0
CS,,,,,,,,0,54,12,3,0,3,0,74,18,12,3,32,9,0,11,6,0,1,4,0,0,8,5,0,1,2,0,0,4,1,0,0,3,0,0,3,0,1,1,0,1,0,2,0,1,1,0,0,0
USJ,,,,,,,,0,123,16,8,7,3,1,110,7,21,13,23,46,0,14,3,0,1,10,0,0,14,3,0,1,10,0,0,5,1,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Kandy,,,,,,,,0,43,8,1,2,5,6,140,5,7,6,58,14,50,10,1,0,1,7,0,1,10,0,0,1,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ruhuna,,,,,,,,0,99,24,2,9,1,1,129,4,12,2,68,37,6,16,2,0,0,14,0,0,18,2,0,0,16,0,0,0,0,0,0,0,0,0,4,1,0,0,2,1,0,2,1,0,0,1,0,0
SLIIT,,,,,,,,0,54,4,0,1,0,0,15,3,3,1,8,0,0,2,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSBM,,,,,,,,0,12,2,0,1,0,0,5,3,2,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIBM,,,,,,,,0,6,1,1,0,0,0,9,7,2,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajarata,,,,,,,,0,15,5,3,1,0,0,13,8,4,1,0,0,0,8,8,0,0,0,0,0,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
