Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,SU,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,APL,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,ACC,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,APD,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,REA,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,FIN,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,CMP,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
,,,,,,,,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe,Total,oGV,oGTa,oGTe,iGV,iGTa,iGTe
CC,,,,,,,,0,18,7,5,1,0,0,116,4,12,5,68,22,5,22,0,0,1,21,0,0,20,1,0,1,18,0,0,1,0,0,0,1,0,0,3,0,0,0,2,1,0,3,0,0,0,2,1,0
CN,,,,,,,,0,23,9,3,1,1,0,64,2,8,2,41,11,0,11,0,0,1,10,0,0,12,0,0,1,11,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,3,0,0
CS,,,,,,,,0,29,1,2,4,0,0,57,5,4,2,36,10,0,17,2,0,1,14,0,0,16,1,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
USJ,,,,,,,,0,36,4,1,0,0,0,185,3,16,6,67,86,7,21,1,1,1,18,0,0,22,1,1,1,19,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0
Kandy,,,,,,,,0,9,1,2,2,0,0,110,3,9,4,53,17,24,18,2,2,0,14,0,0,16,2,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Ruhuna,,,,,,,,0,3,0,1,6,0,0,108,0,7,1,70,16,14,20,0,0,0,20,0,0,18,1,0,0,17,0,0,2,1,0,0,1,0,0,5,0,1,0,3,1,0,3,0,1,0,2,0,0
SLIIT,,,,,,,,0,15,11,1,3,0,0,8,2,3,2,1,0,0,3,2,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSBM,,,,,,,,0,3,2,1,1,0,0,5,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
NIBM,,,,,,,,0,4,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajarata,,,,,,,,0,23,4,0,0,0,0,6,4,2,0,0,0,0,3,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
